timestamp,open,high,low,close,volume
2025-12-16,223.0350,223.6600,221.1304,222.5600,39298857
2025-12-15,227.9300,227.9300,221.5000,222.5400,47286085
2025-12-12,229.8700,230.0800,225.1200,226.1900,35639118
2025-12-11,230.7100,232.1100,228.6901,230.2800,28249599
2025-12-10,228.8050,232.4200,228.4600,231.7800,38790736
2025-12-09,226.8400,228.5700,225.1100,227.9200,25712299
2025-12-08,229.5900,230.8300,226.2700,226.8900,34681553
2025-12-05,230.3200,231.2400,228.5470,229.5300,33117377
2025-12-04,232.7700,233.5000,226.8000,229.1100,45683224
2025-12-03,233.3500,233.3800,230.6100,232.3800,35495058
2025-12-02,235.0050,238.9700,233.5500,234.4200,45785363
2025-12-01,233.2200,235.7970,232.2500,233.8800,42903954
2025-11-28,231.2400,233.2850,230.2200,233.2200,20292329
2025-11-26,230.7400,231.7474,228.7700,229.1600,38497922
2025-11-25,226.3800,230.5200,223.8000,229.6700,39379339
2025-11-24,222.5550,227.3300,222.2700,226.2800,54318395
2025-11-21,216.3450,222.2100,215.1800,220.6900,68490464
2025-11-20,227.0500,227.4100,216.7400,217.1400,50308962
2025-11-19,223.7350,223.7350,218.5200,222.6900,58335643
2025-11-18,228.1000,230.2000,222.4200,222.5500,60608442
2025-11-17,233.2500,234.6000,229.1900,232.8700,59919018
2025-11-14,235.0600,238.7300,232.8900,234.6900,38956669
2025-11-13,243.0500,243.7500,236.5000,237.5800,41401738
2025-11-12,250.2350,250.3700,243.7500,244.2000,31190063
2025-11-11,248.4100,249.7499,247.2300,249.1000,23564060
2025-11-10,248.3400,251.7500,245.5900,248.4000,36476514
2025-11-07,242.9000,244.9000,238.4900,244.4100,46374294
2025-11-06,249.1550,250.3800,242.1700,243.0400,46004203
2025-11-05,249.0300,251.0000,246.1600,250.2000,39234469
2025-11-04,250.3800,257.0100,248.6600,249.3200,51546311
2025-11-03,255.3600,258.6000,252.9000,254.0000,95997816
2025-10-31,250.1000,250.5000,243.9800,244.2200,166340808
2025-10-30,227.0600,228.4400,222.7500,222.8600,102252937
2025-10-29,231.6720,232.8200,227.7600,230.3000,52036151
2025-10-28,228.2150,231.4850,226.2100,229.2500,47100026
2025-10-27,227.6600,228.4000,225.5400,226.9700,38266995
2025-10-24,221.9700,225.4000,221.9000,224.2100,38685053
2025-10-23,219.0000,221.3000,218.1800,221.0900,31539999
2025-10-22,219.3000,220.0050,216.5200,217.9500,44308538
2025-10-21,218.4300,223.3200,217.9900,222.0300,50494565
2025-10-20,213.8800,216.6900,213.5900,216.4800,38882819
2025-10-17,214.5600,214.8000,211.0300,213.0400,45986944
2025-10-16,215.6700,218.5900,212.8101,214.4700,42414591
2025-10-15,216.6200,217.7100,212.6600,215.5700,45909469
2025-10-14,215.5550,219.3200,212.6000,216.3900,45665580
2025-10-13,217.7000,220.6800,217.0400,220.0700,37809650
2025-10-10,226.2100,228.2500,216.0000,216.3700,72367511
2025-10-09,224.9950,228.2100,221.7500,227.7400,46412122
2025-10-08,222.9200,226.7300,221.1900,225.2200,46685985
2025-10-07,220.8800,222.8900,220.1700,221.7800,31194678
2025-10-06,221.0000,221.7300,216.0300,220.9000,43690876
2025-10-03,223.4400,224.2000,219.3400,219.5100,43639033
2025-10-02,221.0100,222.8100,218.9450,222.4100,41258586
2025-10-01,217.3600,222.1500,216.6100,220.6300,43933834
2025-09-30,222.0300,222.2400,217.8900,219.5700,48396369
2025-09-29,220.0800,222.6000,219.3000,222.1700,44259177
2025-09-26,219.0800,221.0500,218.0200,219.7800,41650098
2025-09-25,220.0600,220.6700,216.4700,218.1500,52226328
2025-09-24,224.1500,224.5600,219.4500,220.2100,49509033
2025-09-23,227.8300,227.8600,220.0700,220.7100,70956193
2025-09-22,230.5600,230.5650,227.5100,227.6300,45914506
2025-09-19,232.3700,234.1600,229.7000,231.4800,97943172
2025-09-18,232.5000,233.4800,228.7900,231.2300,37931738
2025-09-17,233.7700,234.3000,228.7100,231.6200,42815230
2025-09-16,232.9350,235.9000,232.2300,234.0500,38203912
2025-09-15,230.6250,233.7300,230.3200,231.4300,33243328
2025-09-12,230.3500,230.7900,226.2900,228.1500,38496218
2025-09-11,231.4900,231.5300,229.3377,229.9500,37485598
2025-09-10,237.5150,237.6800,229.0962,230.3300,60907714
2025-09-09,236.3550,238.8500,235.0800,238.2400,27033778
2025-09-08,234.9400,237.6000,233.7500,235.8400,33947104
2025-09-05,235.1900,236.0000,231.9300,232.3300,36721802
2025-09-04,231.1850,235.7700,230.7800,235.6800,59391779
2025-09-03,225.2100,227.1699,224.3600,225.9900,26355706
2025-09-02,223.5200,226.1700,221.8300,225.3400,38843883
2025-08-29,231.3200,231.8125,228.1600,229.0000,26199170
2025-08-28,229.0050,232.7100,228.0200,231.6000,33679585
2025-08-27,228.5700,229.8700,227.8100,229.1200,21254479
2025-08-26,227.1100,229.0000,226.0200,228.7100,26105373
2025-08-25,227.3500,229.6000,227.3100,227.9400,22633695
2025-08-22,222.7900,229.1400,220.8200,228.8400,37315341
2025-08-21,222.6500,222.7800,220.5000,221.9500,32140459
2025-08-20,227.1200,227.2700,220.9150,223.8100,36604319
2025-08-19,230.0900,230.5283,227.1200,228.0100,29891012
2025-08-18,230.2250,231.9100,228.3300,231.4900,25248890
2025-08-15,232.5800,234.0800,229.8070,231.0300,39649244
2025-08-14,227.4000,233.1100,227.0200,230.9800,61545824
2025-08-13,222.0000,224.9185,222.0000,224.5600,36508335
